metric_name,metric_label,is_AIX,is_Linux,is_Solaris,metric_category,metric_has_device,metric_device_field,metric_unit,metric_volume_unit_choice,metric_dimension_filter,metric_value_field,metric_dm,metric_dm_node,metric_dm_prefix
memory.mem.mem_used_effective_MB,MEM (MB physical memory usage),TRUE,TRUE,TRUE,memory,FALSE,,MB,FALSE,type=MEM,mem_used_effective,,,
memory.mem.swap_used_effective_percent,MEM swap (% virtual memory usage),TRUE,TRUE,TRUE,memory,FALSE,,pct,FALSE,type=MEM,swap_used_effective_PCT,,,
memory.mem.swap_used_effective_MB,MEM swap (MB virtual memory usage),TRUE,TRUE,TRUE,memory,FALSE,,MB,FALSE,type=MEM,swap_used_effective,,,
,,,,,,,,,,,,,,
storage.df_storage.storage_used,DF_STORAGE (per file system volume used),TRUE,TRUE,TRUE,storage,TRUE,mount,MB,TRUE,type=DF_STORAGE,storage_used,NMON_Data_JFS,JFS.DF_STORAGE,JFS
storage.df_inodes.storage_used_inodes_percent,DF_INODES (per file system inodes used),TRUE,TRUE,FALSE,storage,TRUE,mount,pct,FALSE,type=DF_INODES,storage_used_inodes_percent,NMON_Data_JFS,JFS.DF_INODES,JFS
storage.dgbacklog.disk_backlog_time_ms,Disk Group Backlog time (ms),FALSE,TRUE,FALSE,storage,TRUE,device,ms,FALSE,type=DGBACKLOG,disk_backlog_time_ms,,,
storage.dgbusy.disk_busy_time_pct,Disk Group Busy (% of time),FALSE,TRUE,FALSE,storage,TRUE,device,pct,FALSE,type=DGBUSY,disk_busy_time_pct,,,
storage.dginflight.disk_in_flight_io,Disk Group in flight IO (I/O per sec),FALSE,TRUE,FALSE,storage,TRUE,device,IOPS,FALSE,type=DGINFLIGHT,disk_in_flight_io,,,
storage.dgiotime.disk_time_spent_for_io_ms,Disk Group time spent for IO (ms),FALSE,TRUE,FALSE,storage,TRUE,device,ms,FALSE,type=DGIOTIME,disk_time_spent_for_io_ms,,,
storage.dgread.disk_read_KB_per_sec,Disk Group Read KB/s,FALSE,TRUE,FALSE,storage,TRUE,device,KB/s,FALSE,type=DGREAD,disk_read_KB_per_sec,,,
storage.dgreadmerge.disk_merge_read_sec,Disk Group merged read/s,FALSE,TRUE,FALSE,storage,TRUE,device,read_per_sec,FALSE,type=DGREADMERGE,disk_merge_read_sec,,,
storage.dgreads.disk_read_sec,Disk Group read/s,FALSE,TRUE,FALSE,storage,TRUE,device,read_per_sec,FALSE,type=DGREADS,disk_read_sec,,,
storage.dgreadserv.disk_read_service_time_ms,Disk Group read service time (SUM ms,FALSE,TRUE,FALSE,storage,TRUE,device,ms,FALSE,type=DGREADSERV,disk_read_service_time_ms,,,
storage.dgsize.disk_block_size_KB,Disk Group Block Size KB,FALSE,TRUE,FALSE,storage,TRUE,device,KB,FALSE,type=DGSIZE,disk_block_size_KB,,,
storage.dgwrite.disk_write_KB_per_sec,Disk Group Write KB/s,FALSE,TRUE,FALSE,storage,TRUE,device,KB/s,FALSE,type=DGWRITE,disk_write_KB_per_sec,,,
storage.dgwritemerge.disk_merge_write_sec,Disk Group merged write/s,FALSE,TRUE,FALSE,storage,TRUE,device,write_per_sec,FALSE,type=DGWRITEMERGE,disk_merge_write_sec,,,
storage.dgwrites.disk_write_sec,Disk Group write/s,FALSE,TRUE,FALSE,storage,TRUE,device,write_per_sec,FALSE,type=DGWRITES,disk_write_sec,,,
storage.dgwriteserv.disk_write_service_time_ms,Disk Group write service time (SUM ms),FALSE,TRUE,FALSE,storage,TRUE,device,ms,FALSE,type=DGWRITESERV,disk_write_service_time_ms,,,
storage.dgxfer.disk_total_iops,Disk Group Transfers/s,FALSE,TRUE,FALSE,storage,TRUE,device,IOPS,FALSE,type=DGXFER,disk_total_iops,,,
,,,,,,,,,,,,,,
storage.diskxfer.iops,"Disk I/O Operations per second (IOPS, iostat tps)",TRUE,TRUE,TRUE,storage,TRUE,device,IOPS,FALSE,type=DISKXFER,value,,,
storage.diskbsize.value,Average data transfer size (block size) for read/write operations,TRUE,TRUE,TRUE,storage,TRUE,device,Kbytes / transfer,FALSE,type=DISKBSIZE,value,,,
storage.diskbusy.value,Average percentage of busy for the disk,TRUE,TRUE,TRUE,storage,TRUE,device,pct,FALSE,type=DISKBUSY,value,,,
storage.diskread.value,Data transfer rate of read data in kilobytes per second in the interval,TRUE,TRUE,TRUE,storage,TRUE,device,Kbytes/sec,FALSE,type=DISKREAD,value,,,
storage.diskwrite.value,Data transfer rate of written data in kilobytes per second in the interval,TRUE,TRUE,TRUE,storage,TRUE,device,Kbytes/sec,FALSE,type=DISKWRITE,value,,,
,,,,,,,,,,,,,,
network.traffic.Kbsec,NETWORK (Inbound/Outbound traffic KB/sec),TRUE,TRUE,TRUE,network,TRUE,device,Kbs,FALSE,type=NET,value,NMON_Data_NET,NET_Data_types,NET_Data_types
